numero,nom,mot clés,description breve,description
1,Quartz Rose,"amour inconditionnel, tendresse, douceur, globalité, lien","Vibration d'amour, paix du coeur, l'amour est là.",
2,Jaspe Rouge,,"Acrage, Terre, Découvrir notre terre intérieure Nomades",
3,Calcite Bleu,,"Ecouter et Exprimer son Intérieur, pacification intérieure, clarifier",
4,Jade,,"Noble de coeur, connexion à la vie par le coeur. Gardien des lois dans l'humilité",
5,Emeraude,,"Coeur, agie, Réunir ce qui est séparé en laissant parler le coeur",
6,Grenat,,"Feu, Passion, Energie sexuelle, Ecouter ses besoins, prendre du plaisir",
7,Citrine,,"Accepter son soleil intérieur. Je m'affirme, j'enlève mon masque",
8,Obsidienne,,"Guerrier qui devient médiateur. Utiliser la colère pour être juste. Respecter les lois intérieures, justice",
9,Aigue Marine,,"Verbe juste, enseignant. Besoin d'exprimer. Paix par le verbe.",
10,Rhodonite,,Guerit les blessures affectives. Assumer e besoin d'affection. Libère de la peur de ne pas être aimé.,
11,Cornaline,,"Ecoute intérieure (ramène au ventre au lieu du mental). Développe le Féminin intérieur. Maturer, Accoucher des choses, réguler le cycle.",